Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S002561    ,4,Les Corts,21,Pedralbes,171309,Dalt (Llobregat)                                  ,0040 0044,Dimarts,Dm,Laboral,2019,4,Abril,2,15,Tarda,No és causa del  vianant,0,1,0,1,2,"425622,06","4583009,55",2.109095422749787,41.393356402912204
2019S002562    ,2,Eixample,7,la Dreta de l'Eixample,232902,Jonqueres / Urquinaona                            ,0008 0008,Dimarts,Dm,Laboral,2019,4,Abril,2,16,Tarda,No és causa del  vianant,0,1,0,1,2,"431027,72","4582487,02",2.1738086792493747,41.389132641049116
2019S002563    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28000,Augusta / Tavern                                  ,0147 0147,Dimarts,Dm,Laboral,2019,4,Abril,2,16,Tarda,No és causa del  vianant,0,0,0,0,2,"428555,89","4583645,99",2.144109704219196,41.39935486242558
2019S002564    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,30409,Bac de Roda / Taulat                              ,0010X0010X,Dimarts,Dm,Laboral,2019,4,Abril,2,16,Tarda,No és causa del  vianant,0,1,0,1,2,"434078,42","4583990,17",2.210130311977753,41.40292721254894
2019S002565    ,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló                                          ,0305 0305,Dimarts,Dm,Laboral,2019,4,Abril,2,14,Tarda,No és causa del  vianant,0,1,0,1,2,"430279,41","4583603,04",2.164730497835636,41.39911954364592
2019S002566    ,2,Eixample,9,la Nova Esquerra de l'Eixample,54509,Calàbria / Consell de Cent                        ,0136 0136,Dimarts,Dm,Laboral,2019,4,Abril,2,16,Tarda,No és causa del  vianant,0,2,0,2,2,"429280,46","4581644,62",2.153010619334236,41.3813935729461
2019S002567    ,2,Eixample,7,la Dreta de l'Eixample,18505,Roger de Llúria / Aragó                           ,0295 0295,Dimarts,Dm,Laboral,2019,4,Abril,2,15,Tarda,No és causa del  vianant,0,1,0,1,2,"430470,43","4583048,06",2.167079195273052,41.3941376415254
2019S002568    ,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes / Sicília                         ,0707 0707,Dimarts,Dm,Laboral,2019,4,Abril,2,17,Tarda,No és causa del  vianant,0,2,0,2,2,"431423,03","4583422,12",2.1784304065304942,41.39758856546441
2019S002569    ,9,Sant Andreu,59,el Bon Pastor,264308,Potosí / Ciutat d'Asunción                        ,0001 0001,Dimarts,Dm,Laboral,2019,4,Abril,2,20,Tarda,No és causa del  vianant,0,2,0,2,2,"433272,5","4588446,56",2.19999718642097,41.442997566771076
2019S002570    ,1,Ciutat Vella,2,el Barri Gòtic,303705,Sant Jaume / Ferran                               ,0003 0003,Dimarts,Dm,Laboral,2019,4,Abril,2,18,Tarda,Desobeir el senyal del semàfor,0,0,0,0,1,"431254,66","4581748,72",2.176606702278601,41.382502517623
2019S002571    ,2,Eixample,7,la Dreta de l'Eixample,71600,Gràcia / Casp                                     ,0001B0001B,Dimarts,Dm,Laboral,2019,4,Abril,2,18,Tarda,No és causa del  vianant,0,1,0,1,1,"430675,95","4582457,44",2.16960502807486,41.388835940674994
2019S002572    ,6,Gràcia,31,la Vila de Gràcia,144601,Diagonal                                          ,0462 0462,Dimarts,Dm,Laboral,2019,4,Abril,2,20,Tarda,No és causa del  vianant,0,1,0,1,2,"429629,86","4583284,51",2.1569980234107216,41.396194021465064
