"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2013S003698    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0518 0518",Dijous,Dj,Laboral,2013,5,Maig,23,Matí,13,"No és causa del  vianant",Motocicleta,Home,Conductor,40,"Ferit lleu","4584558,04","431675,33"
"2013S002694    ",2,Eixample,7,"la Dreta de l'Eixample",74506,Catalunya,"0074 0074",Dilluns,Dl,Laboral,2013,4,Abril,15,Nit,01,"No és causa del  vianant",Turismo,Dona,Passatger,23,"Ferit lleu","4582836,31","430055,90"
"2013S002696    ",1,"Ciutat Vella",1,"el Raval",140203,Drassanes,"0017 0017",Dilluns,Dl,Laboral,2013,4,Abril,15,Matí,06,"No és causa del  vianant",Taxi,Dona,Vianant,29,"Ferit lleu","4581089,51","430971,40"
"2013S002701    ",2,Eixample,7,"la Dreta de l'Eixample",74506,Catalunya,"0074 0074",Dilluns,Dl,Laboral,2013,4,Abril,15,Matí,12,"No és causa del  vianant",Motocicleta,Home,Conductor,40,"Ferit lleu","4582836,31","430055,90"
"2013S002713    ",2,Eixample,9,"la Nova Esquerra de l'Eixample",361406,Viladomat,"0166 0166",Dilluns,Dl,Laboral,2013,4,Abril,15,Tarda,16,"No és causa del  vianant",Turismo,Home,Conductor,72,"Ferit lleu","4581859,63","429256,13"
"2013S003175    ",8,"Nou Barris",49,Canyelles,12305,"Alta de les Roquetes","0174 0174",Dijous,Dj,Laboral,2013,5,Maig,2,Tarda,17,"No és causa del  vianant",Autobús,Home,Passatger,82,"Ferit lleu","4588803,06","430405,60"
"2013S003183    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",146902,"Glòries Catalanes",0038X0038X,Dijous,Dj,Laboral,2013,5,Maig,2,Tarda,21,"No és causa del  vianant",Turismo,Home,Passatger,3,"Ferit lleu","4584005,27","432226,20"
"2013S004172    ",8,"Nou Barris",48,"la Guineueta",351901,Valldaura,"0115 0115",Divendres,Dv,Laboral,2013,6,Juny,7,Tarda,20,"No és causa del  vianant",Turismo,Dona,Passatger,54,"Ferit lleu","4588097,85","430291,52"
"2013S004190    ",3,Sants-Montjuïc,15,Hostafrancs,45803,Bordeta,"0002 0002",Dissabte,Ds,Laboral,2013,6,Juny,8,Tarda,17,"No és causa del  vianant",Ciclomotor,Home,Conductor,36,"Ferit lleu","4580840,97","428792,63"
"2013S003729    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701267,"Dalt (Besòs)",000850000,Divendres,Dv,Laboral,2013,5,Maig,24,Tarda,15,"No és causa del  vianant",Motocicleta,Home,Conductor,23,"Ferit lleu","4584966,81","427128,56"
